eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
76,149,0.0575,84.6331,0.0268,head_down
75,150,0.0575,84.6686,0.0249,head_down
75,151,0.0574,84.7038,0.0252,head_down
75,151,0.0579,84.3278,0.0221,head_down
76,151,0.0579,84.3278,0.0258,head_down
75,151,0.0579,84.3278,0.0254,head_down
75,151,0.0579,84.3278,0.0252,head_down
75,152,0.0583,84.3649,0.0259,head_down
75,153,0.0595,84.0308,0.0334,head_down
76,153,0.0604,84.0308,0.037,head_down
76,153,0.0597,84.0308,0.0416,head_down
76,152,0.0597,83.9918,0.0463,head_down
77,152,0.0593,83.9918,0.0476,head_down
77,153,0.0597,84.0308,0.0469,head_down
76,153,0.0597,84.0308,0.0495,head_down
77,152,0.0598,85.1124,0.0519,head_down
76,151,0.0584,85.0802,0.0525,head_down
76,150,0.058,85.4268,0.053,head_down
76,150,0.058,85.4268,0.0536,head_down
75,149,0.0571,85.0145,0.0568,head_down
75,149,0.0571,85.3963,0.0581,head_down
76,149,0.0571,84.6331,0.0539,head_down
75,148,0.0567,84.9809,0.0588,head_down
75,148,0.0571,84.9809,0.0594,head_down
74,147,0.0559,84.947,0.0602,head_down
75,147,0.0559,84.947,0.0607,head_down
75,146,0.056,84.9125,0.0616,head_down
74,147,0.0554,84.947,0.0622,head_down
75,146,0.0555,85.3021,0.0646,head_down
75,146,0.0555,85.3021,0.063,head_down
75,146,0.055,85.3021,0.0626,head_down
75,147,0.0554,85.3339,0.0617,head_down
75,146,0.0555,85.3021,0.0629,head_down
74,146,0.0559,85.6921,0.0611,head_down
75,145,0.0555,85.2698,0.067,head_down
76,145,0.0555,85.2698,0.0699,head_down
76,146,0.0555,85.3021,0.0689,head_down
76,146,0.0555,85.3021,0.0718,head_down
76,146,0.056,85.3021,0.0695,head_down
76,147,0.0564,85.3339,0.0711,head_down
76,147,0.0564,85.3339,0.0715,head_down
76,146,0.056,85.6921,0.0731,head_down
76,147,0.0564,84.947,0.0726,head_down
76,146,0.0555,85.3021,0.0724,head_down
77,146,0.056,85.6921,0.0738,head_down
76,146,0.056,85.3021,0.0758,head_down
77,146,0.0565,85.6921,0.0752,head_down
76,147,0.0568,85.7213,0.074,head_down
76,148,0.0572,85.7501,0.0725,head_down
77,147,0.0564,85.7213,0.073,head_down
77,147,0.0564,85.7213,0.0713,head_down
77,147,0.0568,85.7213,0.0741,head_down
77,147,0.0568,86.109,0.0742,head_down
76,148,0.0572,86.1352,0.0686,head_down
76,149,0.0576,86.1611,0.0719,head_down
77,148,0.0577,86.5207,0.0716,head_down
77,148,0.0581,86.1352,0.0722,head_down
77,148,0.0577,86.1352,0.073,head_down
77,148,0.0582,86.1352,0.0745,head_down
78,148,0.0582,86.1352,0.0802,head_down
78,148,0.0582,85.7501,0.0803,head_down
78,147,0.0582,86.109,0.0867,head_down
79,147,0.0578,86.109,0.0864,head_down
79,146,0.0578,86.0825,0.0844,head_down
78,147,0.0573,85.7213,0.0832,head_down
79,148,0.0587,85.7501,0.0836,head_down
79,147,0.0573,86.109,0.0834,head_down
79,147,0.0578,86.4971,0.0837,head_down
79,147,0.0578,86.4971,0.0818,head_down
78,147,0.0578,86.4971,0.0816,head_down
78,148,0.0582,86.5207,0.0825,head_down
79,148,0.0582,86.1352,0.0826,head_down
79,147,0.0587,86.4971,0.0834,head_down
79,147,0.0582,86.109,0.083,head_down
78,147,0.0577,86.109,0.0818,head_down
78,148,0.0582,86.5207,0.0819,head_down
78,149,0.0591,86.544,0.0821,head_down
79,148,0.0582,86.1352,0.0814,head_down
79,148,0.0582,86.5207,0.08,head_down
79,148,0.0582,86.5207,0.0821,head_down
78,149,0.0586,86.544,0.0799,head_down
78,149,0.0586,86.544,0.0793,head_down
78,149,0.0581,86.544,0.0812,head_down
79,149,0.0586,86.544,0.0805,head_down
79,148,0.0582,86.9065,0.0802,head_down
78,149,0.0586,86.544,0.081,head_down
78,149,0.0586,86.544,0.0804,head_down
78,149,0.0586,86.544,0.0786,head_down
78,148,0.0582,86.5207,0.0803,head_down
79,149,0.0586,86.544,0.08,head_down
78,148,0.0582,86.5207,0.0785,head_down
79,148,0.0582,86.5207,0.0791,head_down
78,149,0.0586,86.544,0.0777,head_down
78,148,0.0582,86.5207,0.0774,head_down
78,148,0.0582,86.5207,0.0785,head_down
78,148,0.0582,86.5207,0.0777,head_down
78,148,0.0582,86.5207,0.0775,head_down
78,148,0.0582,86.5207,0.0778,head_down
78,148,0.0582,86.5207,0.0788,head_down
78,148,0.0582,86.9065,0.0786,head_down
86,159,0.0687,86.0432,0.1253,head_down
88,158,0.0682,87.102,0.1313,head_down
88,158,0.0682,86.7405,0.1293,head_down
88,158,0.0682,86.7405,0.1263,head_down
87,158,0.0682,86.7405,0.128,head_down
87,158,0.0688,86.7405,0.1259,head_down
87,158,0.0688,87.102,0.1276,head_down
87,158,0.0688,87.102,0.1267,head_down
87,158,0.0688,86.7405,0.1239,head_down
87,158,0.0688,86.7405,0.1248,head_down
87,159,0.0688,87.1202,0.1267,head_down
87,158,0.0682,87.102,0.1235,head_down
87,158,0.0688,86.7405,0.1242,head_down
87,158,0.0682,86.3792,0.1256,head_down
87,158,0.0682,86.3792,0.1234,head_down
87,158,0.0682,86.7405,0.1246,head_down
87,158,0.0682,86.7405,0.1243,head_down
87,158,0.0688,87.102,0.1252,head_down
87,158,0.0688,86.7405,0.1244,head_down
87,159,0.0688,86.7609,0.1245,head_down
87,159,0.0688,86.4019,0.1245,head_down
87,158,0.0688,86.7405,0.1238,head_down
87,158,0.0688,86.7405,0.1242,head_down
87,158,0.0688,86.3792,0.1243,head_down
87,158,0.0682,86.3792,0.1222,head_down
87,159,0.0688,86.4019,0.1241,head_down
87,159,0.0692,86.4019,0.1237,head_down
